 A(*, *)
 matr[          13 ,           15 ] =                 (-5960801.89775806509782804228888247621,0.00000000000000000000000000000000000)
 matr[          13 ,           16 ] =                  (5333.31986647564331868439620715112649,0.00000000000000000000000000000000000)
 matr[          13 ,           17 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          13 ,           18 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          13 ,           19 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          13 ,           20 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          13 ,           21 ] =                 (-15.0000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          13 ,           22 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          13 ,           23 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          13 ,           24 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          13 ,           25 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          13 ,           26 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          13 ,           27 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          13 ,           28 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          13 ,           29 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          13 ,           30 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          13 ,           31 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          13 ,           32 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          13 ,           33 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          13 ,           34 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          13 ,           35 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          13 ,           36 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          13 ,           37 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          13 ,           38 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          13 ,           39 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          13 ,           40 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,            1 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,            2 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,            3 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,            4 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,            5 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,            6 ] =                 (-5.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,            7 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,            8 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,            9 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,           10 ] =                  (5333.31986647564331868439620715112649,0.00000000000000000000000000000000000)
 matr[          14 ,           11 ] =                 (-5333.31986647564331868439620715112649,0.00000000000000000000000000000000000)
 matr[          14 ,           12 ] =                  (5333.31986647564331868439620715112649,0.00000000000000000000000000000000000)
 matr[          14 ,           13 ] =                 (-340.312490165233683114820451010018587,0.00000000000000000000000000000000000)
 matr[          14 ,           14 ] =                  (5693.63235664087700179921665816114587,0.00000000000000000000000000000000000)
 matr[          14 ,           15 ] =                 (-5960801.89775806509782804228888247621,0.00000000000000000000000000000000000)
 matr[          14 ,           16 ] =                  (5333.31986647564331868439620715112649,0.00000000000000000000000000000000000)
 matr[          14 ,           17 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,           18 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,           19 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,           20 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,           21 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,           22 ] =                 (-15.0000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,           23 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,           24 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,           25 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,           26 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,           27 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,           28 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,           29 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,           30 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,           31 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,           32 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,           33 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,           34 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,           35 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,           36 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,           37 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,           38 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,           39 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          14 ,           40 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,            1 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,            2 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,            3 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,            4 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,            5 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,            6 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,            7 ] =                 (-5.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,            8 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,            9 ] =                 (-5333.31986647564331868439620715112649,0.00000000000000000000000000000000000)
 matr[          15 ,           10 ] =                 (-5333.31986647564331868439620715112649,0.00000000000000000000000000000000000)
 matr[          15 ,           11 ] =                  (10666.6397329512866373687924143022530,0.00000000000000000000000000000000000)
 matr[          15 ,           12 ] =                 (-10666.6397329512866373687924143022530,0.00000000000000000000000000000000000)
 matr[          15 ,           13 ] =                 (-5333.31986647564331868439620715112649,0.00000000000000000000000000000000000)
 matr[          15 ,           14 ] =                 (-5333.31986647564331868439620715112649,0.00000000000000000000000000000000000)
 matr[          15 ,           15 ] =                  (25415014.0305676457311587154603121910,0.00000000000000000000000000000000000)
 matr[          15 ,           16 ] =                 (-10666.6397329512866373687924143022530,0.00000000000000000000000000000000000)
 matr[          15 ,           17 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,           18 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,           19 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,           20 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,           21 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,           22 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,           23 ] =                 (-15.0000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,           24 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,           25 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,           26 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,           27 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,           28 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,           29 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,           30 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,           31 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,           32 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,           33 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,           34 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,           35 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,           36 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,           37 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,           38 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,           39 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          15 ,           40 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,            1 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,            2 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,            3 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,            4 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,            5 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,            6 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,            7 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,            8 ] =                 (-5.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,            9 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,           10 ] =                  (5333.31986647564331868439620715112649,0.00000000000000000000000000000000000)
 matr[          16 ,           11 ] =                 (-5333.31986647564331868439620715112649,0.00000000000000000000000000000000000)
 matr[          16 ,           12 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,           13 ] =                  (5333.31986647564331868439620715112649,0.00000000000000000000000000000000000)
 matr[          16 ,           14 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,           15 ] =                 (-5333.31986647564331868439620715112649,0.00000000000000000000000000000000000)
 matr[          16 ,           16 ] =                  (11027.1011682969711654506210235906825,0.00000000000000000000000000000000000)
 matr[          16 ,           17 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,           18 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,           19 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,           20 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,           21 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,           22 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,           23 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,           24 ] =                 (-15.0000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,           25 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,           26 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,           27 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,           28 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,           29 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,           30 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,           31 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,           32 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,           33 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,           34 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,           35 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,           36 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,           37 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,           38 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,           39 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          16 ,           40 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,            1 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,            2 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,            3 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,            4 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,            5 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,            6 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,            7 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,            8 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,            9 ] =                 (-15.0000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,           10 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,           11 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,           12 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,           13 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,           14 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,           15 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,           16 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,           17 ] =                  (35384.3060895248674604437354439822782,0.00000000000000000000000000000000000)
 matr[          17 ,           18 ] =                 (-680.624980330467366229640902020037174,0.00000000000000000000000000000000000)
 matr[          17 ,           19 ] =                 (-11945600.8368923733091129298798926122,0.00000000000000000000000000000000000)
 matr[          17 ,           20 ] =                  (34663.6811091944000942140945419622411,0.00000000000000000000000000000000000)
 matr[          17 ,           21 ] =                  (34663.6811091944000942140945419622411,0.00000000000000000000000000000000000)
 matr[          17 ,           22 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,           23 ] =                 (-34663.6811091944000942140945419622411,0.00000000000000000000000000000000000)
 matr[          17 ,           24 ] =                  (34663.6811091944000942140945419622411,0.00000000000000000000000000000000000)
 matr[          17 ,           25 ] =                 (-25.0000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,           26 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,           27 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,           28 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,           29 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,           30 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,           31 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,           32 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,           33 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,           34 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,           35 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,           36 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,           37 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,           38 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,           39 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          17 ,           40 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,            1 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,            2 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,            3 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,            4 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,            5 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,            6 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,            7 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,            8 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,            9 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,           10 ] =                 (-15.0000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,           11 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,           12 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,           13 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,           14 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,           15 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,           16 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,           17 ] =                 (-680.624980330467366229640902020037174,0.00000000000000000000000000000000000)
 matr[          18 ,           18 ] =                  (35384.3060895248674604437354439822782,0.00000000000000000000000000000000000)
 matr[          18 ,           19 ] =                 (-11945600.8368923733091129298798926122,0.00000000000000000000000000000000000)
 matr[          18 ,           20 ] =                  (34663.6811091944000942140945419622411,0.00000000000000000000000000000000000)
 matr[          18 ,           21 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,           22 ] =                  (34663.6811091944000942140945419622411,0.00000000000000000000000000000000000)
 matr[          18 ,           23 ] =                 (-34663.6811091944000942140945419622411,0.00000000000000000000000000000000000)
 matr[          18 ,           24 ] =                  (34663.6811091944000942140945419622411,0.00000000000000000000000000000000000)
 matr[          18 ,           25 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,           26 ] =                 (-25.0000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,           27 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,           28 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,           29 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,           30 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,           31 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,           32 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,           33 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,           34 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,           35 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,           36 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,           37 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,           38 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,           39 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          18 ,           40 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,            1 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,            2 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,            3 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,            4 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,            5 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,            6 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,            7 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,            8 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,            9 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,           10 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,           11 ] =                 (-15.0000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,           12 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,           13 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,           14 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,           15 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,           16 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,           17 ] =                 (-34663.6811091944000942140945419622411,0.00000000000000000000000000000000000)
 matr[          19 ,           18 ] =                 (-34663.6811091944000942140945419622411,0.00000000000000000000000000000000000)
 matr[          19 ,           19 ] =                  (50878022.1438877776892311215248797016,0.00000000000000000000000000000000000)
 matr[          19 ,           20 ] =                 (-69327.3622183888001884281890839244821,0.00000000000000000000000000000000000)
 matr[          19 ,           21 ] =                 (-34663.6811091944000942140945419622411,0.00000000000000000000000000000000000)
 matr[          19 ,           22 ] =                 (-34663.6811091944000942140945419622411,0.00000000000000000000000000000000000)
 matr[          19 ,           23 ] =                  (69327.3622183888001884281890839244821,0.00000000000000000000000000000000000)
 matr[          19 ,           24 ] =                 (-69327.3622183888001884281890839244821,0.00000000000000000000000000000000000)
 matr[          19 ,           25 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,           26 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,           27 ] =                 (-25.0000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,           28 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,           29 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,           30 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,           31 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,           32 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,           33 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,           34 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,           35 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,           36 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,           37 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,           38 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,           39 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          19 ,           40 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          20 ,            1 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          20 ,            2 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          20 ,            3 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          20 ,            4 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          20 ,            5 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          20 ,            6 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          20 ,            7 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          20 ,            8 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          20 ,            9 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          20 ,           10 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          20 ,           11 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          20 ,           12 ] =                 (-15.0000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          20 ,           13 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          20 ,           14 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          20 ,           15 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          20 ,           16 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[          20 ,           17 ] =                  (34663.6811091944000942140945419622411,0.00000000000000000000000000000000000)
 matr[          20 ,           18 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
